transaction_id,customer_id,customer_name,customer_dob,customer_email,customer_phone,customer_address,originator_account,beneficiary_account,beneficiary_name,transaction_type,amount,currency,transaction_date,originator_country,beneficiary_country,risk_score,is_suspicious,aml_flag,ip_address,device_id
TXN-000001,CUST-00052,Donato Godoy-Chaparro,1947-04-16,rocaamilcar@example.org,538.990.8386,"Incrocio Massimiliano, 22, 40035, Creda (BO)",GB93LLTI07816184959310,ES3334131647525534192832,,SEPA,4005.31,GBP,2024-07-17 19:49:52,KP,PT,56.1,0,CLEAR,46.14.44.201,c6a7ee39-c4b
TXN-000002,CUST-00286,Jennifer Jones,1999-11-30,gerdiortmann@example.com,+34 974242388,"Hartmannplatz 21-30, 69166 Pegnitz",DE47801845146270482814,ES3089325288095701543039,John Jones,SEPA,383.62,EUR,2024-10-11 19:35:21,RO,CZ,44.2,0,CLEAR,180.27.200.107,2a45c2ab-8cb
TXN-000003,CUST-01117,Eva Vattimo,1987-03-26,sabas57@example.net,+33 (0)3 83 31 50 98,"0 Joseph Bypass, Stevenhaven, M73 9YU",GB80ZPZN31165667010651,GB93GGRO26247317810801,Yvonne Jones,WIRE_TRANSFER,329.88,JPY,2025-05-17 22:57:06,NG,KW,23.9,0,CLEAR,209.224.87.90,63f2ae24-fc3
TXN-000004,CUST-00062,Marcel Grenier du Meyer,1960-06-30,adkinsbrian@example.net,+33 1 80 81 21 91,"Camino Jose Manuel Ariño 916 Piso 4 , Sevilla, 47936",DE12346247510799118384,GB72LCHL42784980841241,Brittney Campbell,WIRE_TRANSFER,2389.16,USD,2026-03-05 07:17:54,US,IT,27.3,0,CLEAR,182.131.222.129,81627cf1-439
TXN-000005,CUST-00055,Jeff Hill,1963-01-01,shaun78@example.net,+33 (0)2 47 12 80 59,"Piazza Livio, 40 Appartamento 35, 23864, Malgrate (LC)",GB08NAFX56342160733754,,Laura Knowles,SWIFT,283.2,USD,2024-10-27 22:33:56,CZ,CH,37.9,0,CLEAR,36.113.99.188,6651529e-826
TXN-000006,CUST-01117,Dott. Daniele Gulotta,1979-10-20,doerrdina@example.com,06981693406,"6159 Alvarado Crossing, Williamchester, MD 53244",ES4348236629946804436995,FR2477387214895134332003791,Élise Wagner,ACH,315.15,USD,2026-04-14 05:04:25,SY,MM,39.0,0,CLEAR,57.147.233.152,016b6287-b00
TXN-000007,CUST-00570,Geraldine Weston,1978-03-23,danderson@example.net,37167986827,"Schomberplatz 8/2, 34558 Dessau",GB76HMWE31665876036690,IT13M7054668893734670656272,Allegra Pertile,INTERNAL_TRANSFER,7128.63,USD,2025-11-17 02:55:16,LB,PG,89.8,1,SAR_FILED,1.13.224.81,dde9f863-22b
TXN-000008,CUST-00697,Gaby Hahn-Metz,1963-04-09,odette64@example.org,+33 (0)1 77 53 10 03,"2 Davies Port, South Beth, TD5 9ZE",GB18JDSA49663193149190,DE17865185067165726284,Maura Scarpetta,CASH_WITHDRAWAL,-402.01,USD,2024-09-07 06:00:51,YE,US,25.7,0,CLEAR,174.37.172.143,ef43613c-d4a
TXN-000009,CUST-00690,Nicolas Colas-Bourdon,1966-02-02,lrosales@example.com,+44131 496 0454,"Strada Gioacchino, 87, 98164, Lido Di Mortelle (ME)",GB96JHMW34957885685574,DE49431351823374989413,Ing. Dietrich Jacobi Jäckel B.Sc.,WIRE_TRANSFER,2713.17,USD,2024-11-17 06:03:52,VE,PG,47.3,0,CLEAR,12.99.148.71,
TXN-000010,CUST-00736,Dino Stradivari-Camilleri,1979-05-11,vbesnard@example.org,671-316-7190x229,"Studio 99, Zoe Light, Walkerport, S4K 9EH",ES9634123281206797403447,GB19VHIZ93618324210249,,INTERNAL_TRANSFER,1040.0,GBP,2026-04-09 04:53:57,LU,AT,52.5,0,CLEAR,174.79.19.17,4dd8eb85-b04
