customer_id,full_name,email,phone,address,date_of_birth,age,job,marital,education,has_default,balance,has_housing_loan,has_personal_loan,contact_type,last_contact_day,last_contact_month,last_contact_duration_sec,campaign_contacts,days_since_prev_contact,previous_contacts,previous_outcome,subscribed_deposit,country,zip_code,language
BM-00001,Trinidad Bou Carrión,jessikavogt@example.net,08 07 61 17 57,"2, avenue Suzanne Lemonnier, 31916 Mahe",1984-01-25,42.0,blue-collar,single,primary,yes,4050.94,no,no,unknown,20,mar,1284.0,36,390,15,other,no,GR,12777,nl
BM-00002,Joanna Hill,herminio77@example.org,04 70 20 88 80,"12792 Powell Stream, East Williamshire, RI 80349",1970-10-23,55.0,management,single,primary,yes,3070.58,yes,yes,unknown,12,jul,318.0,13,429,16,failure,no,PT,73970,it
BM-00003,Thomas Davidson,mauriceroche@example.net,0310708331,"Glorieta Sosimo Iglesias 27, Soria, 06847",1989-07-01,36.0,technician,divorced,primary,unknown,7028.97,no,no,cellular,28,sep,3977.0,19,394,21,unknown,no,FI,27282,en
BM-00004,Eli Morales-Macias,murraysean@example.org,0801437797,"Vial de Victoriano Oliveras 63 Piso 3 , Salamanca, 03428",1948-01-19,78.0,entrepreneur,married,primary,unknown,2365.38,yes,no,unknown,20,oct,1979.0,7,799,15,success,no,BG,53695,es
BM-00005,Lucy Smith,marthemartins@example.net,0400348599,"Alameda de Silvio Arellano 3 Apt. 11 , Santa Cruz de Tenerife, 43861",1997-07-04,28.0,retired,divorced,secondary,no,,no,yes,cellular,12,dec,3718.0,11,504,10,success,no,CZ,52207,it
BM-00006,Florentina Español Soriano,usperi@example.net,663-884-1754,"Paseo de Nilo Sanabria 6 Puerta 8 , Ciudad, 23813",,72.0,blue-collar,single,secondary,yes,-241.95,no,yes,telephone,27,apr,3173.0,11,858,5,failure,no,SE,74010,fr
BM-00007,Mark Clay,marcelle27@example.com,0432345907,"0681 Williams Expressway Apt. 082, Tonyaville, MI 43110",1943-07-25,82.0,blue-collar,divorced,unknown,unknown,-3139.01,yes,yes,cellular,7,jan,1944.0,15,429,12,success,no,MT,49606,nl
BM-00008,Anne Brown,bluemelhans-juergen@example.net,+34 942800894,"Studio 90o, Heath Club, East Gailmouth, RM84 2YH",1949-04-30,76.0,blue-collar,divorced,unknown,unknown,2061.34,no,no,unknown,3,jul,709.0,26,387,15,success,no,LU,81056,es
BM-00009,Célina Dijoux,mhenk@example.net,+49(0)9288 44417,"Rambla Luis Miguel Calzada 11 Apt. 67 , Soria, 35257",1999-06-29,26.0,self-employed,divorced,secondary,no,5259.43,no,no,cellular,2,aug,881.0,11,931,3,failure,no,CZ,60534,de
BM-00010,Lesley Parkes,agnolobello@example.org,+34901183697,"chemin Thérèse Leclercq, 03425 Moreno-sur-Durand",1990-05-16,35.0,blue-collar,married,primary,unknown,1101.93,no,yes,unknown,27,jul,3090.0,10,468,7,success,no,MT,17263,nl
